MUNICIPIO,TOTAL_AREA,COD_MUNICIPIO,MESO,MICRO,LAT,LONG
PEDRINÓPOLIS,502.403,3149200,Triângulo Mineiro e Alto Paranaíba,ARAXÁ,-19.2275,-47.461944
NOVA PONTE,8387.515,3145000,Triângulo Mineiro e Alto Paranaíba,ARAXÁ,-19.1692213,-47.6717642
PRATA,12883.326,3152808,Triângulo Mineiro e Alto Paranaíba,UBERLÂNDIA,-19.307222,-48.923889
SANTA JULIANA,7380.827,3157708,Triângulo Mineiro e Alto Paranaíba,ARAXÁ,-19.308611,-47.525
LIMEIRA DO OESTE,34235.791,3138625,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.5521959,-50.5772673
PERDIZES,15811.172,3149804,Triângulo Mineiro e Alto Paranaíba,ARAXÁ,-19.3503361,-47.2938235
UNIÃO DE MINAS,12223.06,3170438,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.5296289,-50.3317301
VERÍSSIMO,25084.265,3171105,Triângulo Mineiro e Alto Paranaíba,UBERABA,-19.6680818,-48.308771
SACRAMENTO,17206.578,3156908,Triângulo Mineiro e Alto Paranaíba,ARAXÁ,-19.8652854,-47.4402746
CARNEIRINHO,27328.447,3114550,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.6975,-50.688055
ARAXÁ,1922.929,3104007,Triângulo Mineiro e Alto Paranaíba,ARAXÁ,-19.6009149,-46.940923
CAMPO FLORIDO,43767.556,3111408,Triângulo Mineiro e Alto Paranaíba,UBERABA,-19.7605907,-48.5719816
ITURAMA,39547.242,3134400,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.7272733,-50.193488
CAMPINA VERDE,6069.657,3111101,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.535277,-49.486389
COMENDADOR GOMES,9568.411,3116902,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.695155,-49.0843408
SÃO FRANCISCO DE SALES,19061.346,3161304,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.863056,-49.773889
ESTRELA DO INDAIÁ,577.001,3124708,Central Mineira,BOM DESPACHO,-19.5225,-45.7875
ITAPAGIPE,24326.336,3133402,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.9033884,-49.3666934
CONQUISTA,14150.03,3118205,Triângulo Mineiro e Alto Paranaíba,UBERABA,-19.936944,-47.543055
LUZ,6895.008,3138807,Central Mineira,BOM DESPACHO,-19.7903123,-45.6818948
BOM DESPACHO,914.7649999999999,3107406,Central Mineira,BOM DESPACHO,-19.7375242,-45.2517288
CONCEIÇÃO DAS ALAGOAS,40036.637,3117306,Triângulo Mineiro e Alto Paranaíba,UBERABA,-19.9194009,-48.3803414
FRUTAL,69770.604,3127107,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-20.0220064,-48.9280076
MOEMA,574.928,3142403,Central Mineira,BOM DESPACHO,-19.8435409,-45.4106241
ÁGUA COMPRIDA,9789.599,3100708,Triângulo Mineiro e Alto Paranaíba,UBERABA,-20.0574733,-48.1093074
LAGOA DA PRATA,6991.311,3137205,Central Mineira,BOM DESPACHO,-20.022778,-45.5440462
PIRAJUBA,11415.315,3150703,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-19.9090891,-48.701683
DELTA,5086.957,3121258,Triângulo Mineiro e Alto Paranaíba,UBERABA,-19.9769,-47.7711
BAMBUÍ,22074.694,3105103,Oeste,PIUÍ,-20.0131996,-45.9777034
IGUATAMA,4314.749,3130309,Oeste,PIUÍ,-20.174445,-45.711111
PLANURA,6669.765,3151602,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-20.1368583,-48.7066819
SANTO ANTÔNIO DO MONTE,5.974,3160405,Oeste,DIVINÓPOLIS,-20.086944,-45.290555
MEDEIROS,864.5029999999999,3141306,Oeste,PIUÍ,-19.9954552,-46.2210801
JAPARAÍBA,5172.26,3135308,Central Mineira,BOM DESPACHO,-20.1416346,-45.5032099
ARCOS,2645.366,3104205,Oeste,FORMIGA,-20.282223,-45.539444
FRONTEIRA,6120.746,3127008,Triângulo Mineiro e Alto Paranaíba,FRUTAL,-20.286111,-49.202778
DORESÓPOLIS,177.924,3123403,Oeste,PIUÍ,-20.287222,-45.903056
DELFINÓPOLIS,3177.811,3121209,Sul/Sudoeste,PASSOS,-20.344749,-46.8546425
CLARAVAL,38.964,3116407,Sul/Sudoeste,PASSOS,-20.4019611,-47.2851534
PIUMHI,64.149,3151503,Oeste,PIUÍ,-20.4675258,-45.9576125
PIMENTA,143.908,3150505,Oeste,FORMIGA,-20.4827995,-45.7985894
PASSOS,5201.646,3147907,Sul/Sudoeste,PASSOS,-20.7167803,-46.6156864
SÃO JOÃO BATISTA DO GLÓRIA,167.599,3162203,Sul/Sudoeste,PASSOS,-20.6413912,-46.5052866
ITAÚ DE MINAS,5.363,3133758,Sul/Sudoeste,PASSOS,-20.739722,-46.752222
ALPINÓPOLIS,174.974,3101904,Sul/Sudoeste,PASSOS,-20.863611,-46.387777
SÃO TOMÁS DE AQUINO,1343.002,3165107,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-20.7844139,-47.097717
SÃO JOSÉ DA BARRA,169.019,3162948,Sul/Sudoeste,PASSOS,-20.7180697,-46.3125073
PRATÁPOLIS,61.031,3152907,Sul/Sudoeste,PASSOS,-20.7444262,-46.8607973
SÃO SEBASTIÃO DO PARAÍSO,3247.459,3164704,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-20.9124331,-46.9823296
CAMPO BELO,19.495,3111200,Oeste,CAMPO BELO,-20.8975,-45.277223
CARMO DO RIO CLARO,68.681,3114402,Sul/Sudoeste,ALFENAS,-20.973315,-46.1186754
ITAMOGI,209.055,3132909,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.0793213,-47.048612
SÃO PEDRO DA UNIÃO,70.965,3163904,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.1316402,-46.6175338
MONTE SANTO DE MINAS,853.842,3143203,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.189722,-46.98
ALFENAS,2193.475,3101607,Sul/Sudoeste,ALFENAS,-21.4297405,-45.9479419
COQUEIRAL,14.612,3118700,Sul/Sudoeste,VARGINHA,-21.1898365,-45.4409829
ALTEROSA,68.545,3102001,Sul/Sudoeste,ALFENAS,-21.249166,-46.143055
MONTE BELO,2635.419,3143005,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.3225052,-46.3649768
AREADO,2036.621,3104304,Sul/Sudoeste,ALFENAS,-21.3582771,-46.1476688
GUARANÉSIA,262.366,3128303,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.3024827,-46.7956962
GUAXUPÉ,84.358,3128709,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.3087615,-46.7190609
ARCEBURGO,89.141,3104106,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.364444,-46.939722
CABO VERDE,107.865,3109501,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.4743338,-46.3964995
DIVISA NOVA,412.126,3122405,Sul/Sudoeste,ALFENAS,-21.5126801,-46.1926626
SERRANIA,382.411,3166907,Sul/Sudoeste,ALFENAS,-21.547906,-46.0404553
MACHADO,439.7,3139003,Sul/Sudoeste,ALFENAS,-21.6762861,-45.9211696
CAMPESTRE,22.488,3111002,Sul/Sudoeste,POÇOS DE CALDAS,-21.711111,-46.246389
SANTA RITA DE CALDAS,26.318,3159209,Sul/Sudoeste,POÇOS DE CALDAS,-22.028889,-46.336944
OURO FINO,74.287,3146008,Sul/Sudoeste,POÇOS DE CALDAS,-22.283056,-46.369167
SANTA RITA DO SAPUCAÍ,3.998,3159605,Sul/Sudoeste,SANTA RITA DO SAPUCAÍ,-22.2486968,-45.7064507
JACUTINGA,90.003,3134905,Sul/Sudoeste,POÇOS DE CALDAS,-22.285833,-46.612222
INCONFIDENTES,8.949,3130606,Sul/Sudoeste,POÇOS DE CALDAS,-22.3168866,-46.3279182
MONTE SIÃO,3.232,3143401,Sul/Sudoeste,POÇOS DE CALDAS,-22.432778,-46.572778
ESTIVA,13.837,3124500,Sul/Sudoeste,POUSO ALEGRE,-22.4638686,-46.0182101
PARAISÓPOLIS,8.608,3147303,Sul/Sudoeste,ITAJUBÁ,-22.5541683,-45.7800024
JURUAIA,759.73,3136900,Sul/Sudoeste,SÃO SEBASTIÃO DO PARAÍSO,-21.252778,-46.577223
