INDEX,AREA,X,Y,COD_MUNICIPIO,MUNICIPIO,MESO,MICRO
24115,1.681,-48.881,-20.16,3127107,Frutal,Sudeste,Frutal
24116,1.093,-49.257,-20.16,3127107,Frutal,Sudeste,Frutal
24117,1.513,-49.142,-20.16,3127008,Fronteira,Sudeste,Frutal
24118,1.009,-48.937,-20.16,3127107,Frutal,Sudeste,Frutal
24119,5.464,-48.886,-20.16,3127107,Frutal,Sudeste,Frutal
24120,11.515,-49.097,-20.16,3127008,Fronteira,Sudeste,Frutal
24121,0.925,-49.141,-20.161,3127008,Fronteira,Sudeste,Frutal
24122,4.035,-45.518,-20.16,3135308,Japaraíba,Sudeste,Divinópolis
24123,0.756,-49.118,-20.161,3127008,Fronteira,Sudeste,Frutal
24124,1.345,-45.52,-20.161,3135308,Japaraíba,Sudeste,Divinópolis
24125,85.821,-48.879,-20.157,3127107,Frutal,Sudeste,Frutal
24126,6.136,-49.281,-20.161,3127107,Frutal,Sudeste,Frutal
24127,1.093,-49.175,-20.162,3127107,Frutal,Sudeste,Frutal
24128,4.119,-49.235,-20.161,3127107,Frutal,Sudeste,Frutal
24129,7.145,-45.522,-20.161,3135308,Japaraíba,Sudeste,Divinópolis
24130,1.177,-49.243,-20.162,3127107,Frutal,Sudeste,Frutal
24131,0.925,-45.624,-20.163,3104205,Arcos,Sudeste,Formiga
24132,0.504,-45.832,-20.163,3130309,Iguatama,Sudeste,Formiga
24133,14.037,-45.621,-20.162,3104205,Arcos,Sudeste,Formiga
24134,0.925,-49.252,-20.163,3127107,Frutal,Sudeste,Frutal
24135,175.927,-48.966,-20.159,3127107,Frutal,Sudeste,Frutal
24136,0.756,-49.079,-20.164,3127008,Fronteira,Sudeste,Frutal
24137,0.504,-49.151,-20.164,3127008,Fronteira,Sudeste,Frutal
24138,1.345,-45.625,-20.164,3104205,Arcos,Sudeste,Formiga
24139,0.588,-45.521,-20.164,3135308,Japaraíba,Sudeste,Divinópolis
24140,1.177,-49.286,-20.164,3127107,Frutal,Sudeste,Frutal
24141,6.892,-49.291,-20.163,3127107,Frutal,Sudeste,Frutal
24142,0.756,-45.723,-20.164,3130309,Iguatama,Sudeste,Formiga
24143,0.841,-48.914,-20.164,3127107,Frutal,Sudeste,Frutal
24144,2.522,-48.94,-20.164,3127107,Frutal,Sudeste,Frutal
24145,17.651,-48.872,-20.162,3127107,Frutal,Sudeste,Frutal
24146,0.756,-45.641,-20.164,3104205,Arcos,Sudeste,Formiga
24147,11.263,-49.137,-20.164,3127008,Fronteira,Sudeste,Frutal
24148,1.513,-45.763,-20.164,3130309,Iguatama,Sudeste,Formiga
24149,0.588,-45.517,-20.165,3135308,Japaraíba,Sudeste,Divinópolis
24150,0.841,-49.285,-20.165,3127107,Frutal,Sudeste,Frutal
24151,0.42,-45.827,-20.165,3130309,Iguatama,Sudeste,Formiga
24152,879.106,-48.916,-20.148,3127107,Frutal,Sudeste,Frutal
24153,0.504,-49.174,-20.166,3127107,Frutal,Sudeste,Frutal
24154,24.291,-49.18,-20.164,3127107,Frutal,Sudeste,Frutal
24155,28.494,-48.953,-20.16,3127107,Frutal,Sudeste,Frutal
24156,0.252,-45.762,-20.166,3130309,Iguatama,Sudeste,Formiga
24157,1.849,-49.284,-20.166,3127107,Frutal,Sudeste,Frutal
24158,0.925,-49.252,-20.166,3127107,Frutal,Sudeste,Frutal
24159,41.522,-49.087,-20.163,3127008,Fronteira,Sudeste,Frutal
24160,3.698,-45.722,-20.165,3130309,Iguatama,Sudeste,Formiga
24161,38.16,-49.23,-20.163,3127107,Frutal,Sudeste,Frutal
24162,0.42,-49.145,-20.166,3127008,Fronteira,Sudeste,Frutal
24163,0.588,-49.283,-20.167,3127107,Frutal,Sudeste,Frutal
24164,0.841,-49.173,-20.167,3127107,Frutal,Sudeste,Frutal
24165,10.59,-45.519,-20.165,3135308,Japaraíba,Sudeste,Divinópolis
24166,75.48,-46.078,-20.162,3105103,Bambuí,Sudeste,Formiga
24167,45.725,-48.946,-20.163,3127107,Frutal,Sudeste,Frutal
24168,0.672,-48.868,-20.168,3127107,Frutal,Sudeste,Frutal
24169,1.177,-45.624,-20.168,3104205,Arcos,Sudeste,Formiga
24170,21.433,-48.893,-20.166,3127107,Frutal,Sudeste,Frutal
24171,0.588,-49.243,-20.169,3127107,Frutal,Sudeste,Frutal
24172,0.588,-48.941,-20.169,3127107,Frutal,Sudeste,Frutal
24173,1.093,-49.147,-20.169,3127008,Fronteira,Sudeste,Frutal
24174,10.59,-45.522,-20.168,3135308,Japaraíba,Sudeste,Divinópolis
24175,6.976,-45.626,-20.167,3104205,Arcos,Sudeste,Formiga
24176,0.672,-45.724,-20.169,3130309,Iguatama,Sudeste,Formiga
24177,0.672,-49.287,-20.169,3127107,Frutal,Sudeste,Frutal
24178,213.581,-45.633,-20.16,3104205,Arcos,Sudeste,Formiga
24179,33.368,-49.129,-20.166,3127008,Fronteira,Sudeste,Frutal
24180,2.774,-48.857,-20.169,3127107,Frutal,Sudeste,Frutal
24181,8.321,-48.889,-20.168,3127107,Frutal,Sudeste,Frutal
24182,6.808,-48.94,-20.17,3127107,Frutal,Sudeste,Frutal
24183,5.883,-45.726,-20.169,3130309,Iguatama,Sudeste,Formiga
24184,44.378,-45.738,-20.167,3130309,Iguatama,Sudeste,Formiga
24185,45.723,-45.752,-20.168,3130309,Iguatama,Sudeste,Formiga
24186,1.009,-45.628,-20.171,3104205,Arcos,Sudeste,Formiga
24187,0.84,-45.732,-20.171,3130309,Iguatama,Sudeste,Formiga
24188,0.756,-49.237,-20.171,3127107,Frutal,Sudeste,Frutal
24189,1.681,-48.855,-20.171,3127107,Frutal,Sudeste,Frutal
24190,23.534,-49.175,-20.169,3127107,Frutal,Sudeste,Frutal
24191,24.542,-49.12,-20.17,3127008,Fronteira,Sudeste,Frutal
